dataset,group,approach,expected_reps,rows_found,exec_ok_reps,executable_suites_pct,line_coverage_pct,branch_coverage_pct,mutation_score_pct,line_metric_reps,branch_metric_reps,mutation_metric_reps
HumanEval+,Cluster,cluster-max-codellama-7b-instruct-ctx16k [structfix],820,814,814,99.26829268292683,84.17090243902436,82.70015853658538,69.74991463414632,814,814,814
HumanEval+,Cluster,cluster-safe-codestral-22b-ctx16k,820,780,780,95.1219512195122,91.89646341463414,90.16760975609758,79.48181707317063,780,780,780
HumanEval+,Cluster,cluster-safe-deepseek-coder-v2-16b-ctx16k,820,789,789,96.21951219512195,93.43524390243904,91.31802439024392,80.79821951219512,789,789,789
HumanEval+,Cluster,cluster-safe-deepseek-v2-ctx32k [structfix],820,799,799,97.4390243902439,62.471304878048805,65.20631707317071,40.87826829268292,799,799,799
HumanEval+,Cluster,cluster-safe-qwen2.5-coder-14b-ctx32k,820,819,819,99.8780487804878,98.49120731707318,96.45114634146344,87.35449999999999,819,819,819
HumanEval+,Cluster,cluster-safe-qwen3-coder-30b-official-ctx32k,820,783,783,95.48780487804878,94.5289024390244,92.73167073170733,85.24209756097567,783,783,783
HumanEval+,Cluster,cluster-safe-qwen3.5-9b-ctx32k,820,799,799,97.4390243902439,96.97989024390243,95.70725609756099,88.00959756097564,799,799,799
HumanEval+,IAEdu,Claude Opus 4.7,820,820,820,100.0,98.41028048780487,97.3627073170732,91.06274390243912,820,820,820
HumanEval+,IAEdu,GPT-4o,820,820,817,99.63414634146342,99.2099268292683,98.29868292682929,89.2890243902439,820,820,820
HumanEval+,IAEdu,GPT-5.5,820,820,820,100.0,99.26068292682926,98.62390243902442,92.03682926829276,820,820,820
HumanEval+,Non-AI,Pynguin,820,820,739,90.1219512195122,84.40123170731708,88.02641463414635,48.33985365853656,739,739,627
