approach,label,executable_suites_pct,line_coverage_pct,branch_coverage_pct,mutation_score_pct
Official dataset tests,Dataset tests,100.0,99.508,99.0751,100.0
Pynguin,Pynguin,90.1219512195122,84.40123170731708,88.02641463414635,48.33985365853656
GPT-4o,GPT-4o,99.63414634146342,99.2099268292683,98.29868292682929,89.2890243902439
GPT-5.5,GPT-5.5,100.0,99.26068292682926,98.62390243902442,92.03682926829276
Claude Opus 4.7,Claude 4.7,100.0,98.41028048780487,97.3627073170732,91.06274390243912
cluster-max-codellama-7b-instruct-ctx16k [structfix],CodeLlama,99.26829268292683,84.17090243902436,82.70015853658538,69.74991463414632
cluster-safe-codestral-22b-ctx16k,Codestral,95.1219512195122,91.89646341463414,90.16760975609758,79.48181707317063
cluster-safe-deepseek-coder-v2-16b-ctx16k,DeepSeek-Coder-V2,96.21951219512195,93.43524390243904,91.31802439024392,80.79821951219512
cluster-safe-deepseek-v2-ctx32k [structfix],DeepSeek-V2,97.4390243902439,62.471304878048805,65.20631707317071,40.87826829268292
cluster-safe-qwen2.5-coder-14b-ctx32k,Qwen2.5-Coder,99.8780487804878,98.49120731707318,96.45114634146344,87.35449999999999
cluster-safe-qwen3-coder-30b-official-ctx32k,Qwen3-Coder,95.48780487804878,94.5289024390244,92.73167073170733,85.24209756097567
cluster-safe-qwen3.5-9b-ctx32k,Qwen3.5,97.4390243902439,96.97989024390243,95.70725609756099,88.00959756097564
