approach,label,rows_found,line_coverage_penalised_mean,line_coverage_non_penalised_mean,line_coverage_uplift,line_coverage_non_zero_count,branch_coverage_penalised_mean,branch_coverage_non_penalised_mean,branch_coverage_uplift,branch_coverage_non_zero_count,mutation_score_penalised_mean,mutation_score_non_penalised_mean,mutation_score_uplift,mutation_score_non_zero_count
Pynguin,Pynguin,820,84.40123170731708,93.65224627875509,9.251014571438006,739,88.02641463414635,98.20634013605442,10.179925501908073,735,48.33985365853656,64.34850649350646,16.0086528349699,616
GPT-4o,GPT-4o,820,99.2099268292683,99.57422276621787,0.3642959369495742,817,98.29868292682929,98.6596328029376,0.3609498761083074,817,89.2890243902439,91.2930174563591,2.0039930661152,802
GPT-5.5,GPT-5.5,820,99.26068292682926,99.99233415233415,0.7316512255048906,814,98.62390243902442,99.35085995085997,0.7269575118355505,814,92.03682926829276,94.45581977471849,2.418990506425729,799
Claude Opus 4.7,Claude 4.7,820,98.41028048780487,99.99557620817843,1.5852957203735656,807,97.3627073170732,98.93112763320946,1.5684203161362547,807,91.06274390243912,94.16324085750325,3.1004969550641306,793
cluster-max-codellama-7b-instruct-ctx16k [structfix],CodeLlama,814,84.17090243902436,87.70030495552729,3.529402516502927,787,82.70015853658538,95.78266949152543,13.082510954940048,708,69.74991463414632,85.36556716417908,15.615652530032762,670
cluster-safe-codestral-22b-ctx16k,Codestral,780,91.89646341463414,97.23238709677418,5.335923682140034,775,90.16760975609758,97.03076115485567,6.863151398758092,762,79.48181707317063,86.78440745672427,7.302590383553635,751
cluster-safe-deepseek-coder-v2-16b-ctx16k,DeepSeek-Coder-V2,789,93.43524390243904,97.72563775510206,4.290393852663016,784,91.31802439024392,97.12163424124515,5.803609851001227,771,80.79821951219512,87.06247043363994,6.264250921444827,761
cluster-safe-deepseek-v2-ctx32k [structfix],DeepSeek-V2,799,62.471304878048805,68.30196000000004,5.8306551219512315,750,65.20631707317071,94.30190476190474,29.095587688734028,567,40.87826829268292,75.83751131221717,34.959243019534256,442
cluster-safe-qwen2.5-coder-14b-ctx32k,Qwen2.5-Coder,819,98.49120731707318,99.09544785276074,0.6042405356875662,815,96.45114634146344,97.5215043156597,1.0703579741962557,811,87.35449999999999,89.65042553191488,2.2959255319148895,799
cluster-safe-qwen3-coder-30b-official-ctx32k,Qwen3-Coder,783,94.5289024390244,98.99578544061305,4.466883001588641,783,92.73167073170733,98.36994825355757,5.638277521850242,773,85.24209756097567,91.13235984354634,5.890262282570674,767
cluster-safe-qwen3.5-9b-ctx32k,Qwen3.5,799,96.97989024390243,99.52879849812264,2.5489082542202084,799,95.70725609756099,98.34580200501254,2.638545907451558,798,88.00959756097564,91.93359235668792,3.9239947957122894,785
