approach,label,rows_found,line_coverage_penalised_mean,line_coverage_non_penalised_mean,line_coverage_uplift,line_coverage_non_zero_count,branch_coverage_penalised_mean,branch_coverage_non_penalised_mean,branch_coverage_uplift,branch_coverage_non_zero_count,mutation_score_penalised_mean,mutation_score_non_penalised_mean,mutation_score_uplift,mutation_score_non_zero_count
Official dataset tests,Dataset tests,378,99.87505291005291,99.87505291005291,0.0,378,99.81261904761904,99.81261904761904,0.0,378,98.41269841269842,98.41269841269842,0.0,378
Pynguin,Pynguin,1890,95.09870899470897,99.3568601437258,4.258151149016825,1809,95.18266137566141,99.44457158651193,4.261910210850516,1809,57.56613756613756,100.0,42.43386243386244,1088
GPT-4o,GPT-4o,1890,99.45220634920632,99.45220634920632,0.0,1890,99.50113756613756,99.50113756613756,0.0,1890,92.04114285714296,94.2860487804879,2.2449059233449447,1845
GPT-5.5,GPT-5.5,1890,99.21134920634918,99.89848161960573,0.6871324132565491,1877,99.08636507936508,99.77263185935003,0.6862667799849476,1877,94.46384126984135,96.82031453362264,2.3564732637812824,1844
Claude Opus 4.7,Claude 4.7,1890,99.83056084656081,99.83056084656081,0.0,1890,99.67530687830688,99.67530687830688,0.0,1890,94.30384656084662,96.08316442048523,1.7793178596386099,1855
cluster-max-codellama-7b-instruct-ctx16k,CodeLlama,1890,51.01718148148148,94.25461681329423,43.237435331812755,1023,51.842703703703705,98.0807907907908,46.238087087087095,999,44.83306409735448,92.30336725925923,47.47030316190475,918
cluster-safe-codestral-22b-ctx16k,Codestral,1890,49.82841164021164,95.70701016260163,45.87859852238999,984,50.49483227513228,99.1020072689512,48.607174993818916,963,44.43328005767194,92.58974565490625,48.15646559723431,907
cluster-safe-deepseek-coder-v2-16b-ctx16k,DeepSeek-Coder-V2,1890,95.08547142857147,96.3600756032172,1.2746041746457308,1865,95.86935978835979,99.06675232367414,3.19739253531435,1829,86.33797776613766,93.40513908299953,7.0671613168618705,1747
cluster-safe-deepseek-v2-16b-ctx32k,DeepSeek-V2,1890,37.59962010582011,78.26352643171806,40.663906325897955,908,43.4163455026455,97.68677738095238,54.27043187830688,840,25.741190985714287,89.10412264285715,63.362931657142866,546
cluster-safe-qwen2.5-coder-14b-ctx32k,Qwen2.5-Coder,1890,97.68048148148144,98.98987131367288,1.3093898321914423,1865,97.96000000000001,99.32639484978542,1.366394849785408,1864,89.2090026084658,93.6174430483067,4.408440439840902,1801
cluster-safe-qwen3-coder-30b-official-ctx32k,Qwen3-Coder,1890,96.22593650793648,99.81724478594948,3.5913082780130026,1822,96.08744973544975,99.67358946212954,3.5861397266797894,1822,89.92702798571437,95.11028701343042,5.183259027716048,1787
cluster-safe-qwen3.5-9b-ctx32k,Qwen3.5,1890,97.27591005291002,99.75663049376014,2.4807204408501207,1843,97.23068253968255,99.71024959305481,2.4795670533722642,1843,91.19683377354504,95.59734655130345,4.400512777758408,1803
