model	sut_id	target_module	repeat	cluster_status	final_status	final_class	coverage_available	mutation_available	executable_for_coverage	runnable_test_count	line_pct_raw	branch_pct_raw	mutation_score_pct_raw	line_pct_strict0	branch_pct_strict0	mutation_score_pct_strict0	mutation_total	mutation_checked	generated_tests_sha256	source_cluster_status_json	eval_status_json	nodeid_rescue_v1_applied	nodeid_rescue_v1_old_status	nodeid_rescue_v1_pass_count	nodeid_rescue_v1_fail_count	nodeid_rescue_v1_passing_nodeids	mutation_v5_applied	mutation_v5_batch_status	mutation_v5_tool_exit_code	mutation_v5_parse_source	mutation_v5_killed	mutation_v5_survived	mutation_v5_timeout	mutation_v5_suspicious	mutation_v5_skipped	mutation_v5_not_checked	mutation_v5_no_tests	mutation_v5_total	mutation_v5_logcorrected
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	pysnooper	1	ok	ok	evaluated_coverage_and_mutation	True	True	True	1	36.34	11.02	27.40740740740741	36.34	11.02	27.40740740740741	550	405	99df58471773068358b001011314773b6dfee3d7bb57253fe5fa6cc0b7677765	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-1/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	111	294	0	0	0	0	145	550	True
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	pysnooper	2	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	74e49145b3e85a407f2d4ff06a3aebcb23109e6cd626764295b9e07fb26d1808	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-2/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	pysnooper	3	ok	ok	evaluated_coverage_and_mutation	True	True	True	2	33.73	9.322	23.333333333333332	33.73	9.322	23.333333333333332	550	60	2a2f5b9546152c5e0fd822277d9f6b88f55af75f448648afcaac268193ccd158	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-3/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	14	46	0	0	0	0	490	550	True
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	pysnooper	4	ok	ok	evaluated_coverage_and_mutation	True	True	True	1	36.34	11.02	27.40740740740741	36.34	11.02	27.40740740740741	550	405	4222a39fcb469e75aa7755cb8e893fd876e2a76994ea6f9629b82015893caa62	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-4/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	111	294	0	0	0	0	145	550	True
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	pysnooper	5	ok	ok	evaluated_coverage_and_mutation	True	True	True	1	36.34	11.02	27.40740740740741	36.34	11.02	27.40740740740741	550	405	37547c64602276c304b29de4a2b75abf6fae3693b628978e84982521926f16a0	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-5/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	111	294	0	0	0	0	145	550	True
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_3f	pysnooper	1	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	e0b21670ec04892095e9565da68d6755f4dd36cacaaa3eeadcb93b1720c64f65	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-1/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_3f	pysnooper	2	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	fd94700332e8e6d018d4b4e5fc7b482bdb3fc6a97491c604ffbbb30f919bb59e	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-2/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_3f	pysnooper	3	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	1a3a8c37378e572e5f89d3f2cc0977014090e52473df4ae9a8370afeb3bfde58	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-3/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_3f	pysnooper	4	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	81f5d46db20cb9b1250ccad572312901a1a36a925321146c1f0b714ad20aee41	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-4/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_3f	pysnooper	5	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	4dc6226e0e70c015de92bf5f0f544d3027b3c3e44ca9e71b43d7e5847c497a40	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_3f/run_0001/0002-5/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	ansible.utils.unicode	1	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	f8fa900c8c4e7210de594be7e9929bd4ea9ef1a9fd9fcde25e37847a2a580f76	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-1/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	ansible.utils.unicode	2	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	56d5f54493dc1748c4034cd11e4ddeed44064d978104d3975b87e35bfb868812	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-2/metrics/status.json	False					False												
