account	run_id	sut_id	target_module	status	generation_output_nonempty	generation_attempts	generation_empty_attempts	pytest_raw_exit_code	coverage_exit_code	mutmut_exit_code	mutmut_results_exit_code	line_pct	branch_pct	mutation_score_pct	line_pct_penalized	branch_pct_penalized	mutation_score_pct_penalized	mutation_available	status_json	run_dir
account1	1	PySnooper_2f	pysnooper	ok	true	1	0	0	0	1	0	42.28	20.34	99.2727272727	42.28	20.34	99.27272727272727	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0001/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0001/0001-1
account1	2	PySnooper_2f	pysnooper	ok	true	1	0	0	0	1	0	39.19	17.8	30.1818181818	39.19	17.8	30.181818181818183	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0002/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0002/0001-1
account1	3	PySnooper_2f	pysnooper	ok	true	1	0	0	0	1	0	41.81	20.34	99.2727272727	41.81	20.34	99.27272727272727	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0003/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0003/0001-1
account1	4	PySnooper_2f	pysnooper	ok	true	1	0	0	0	1	0	39.19	17.8	31.8181818182	39.19	17.8	31.818181818181817	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0004/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0004/0001-1
account1	5	PySnooper_2f	pysnooper	ok	true	1	0	0	0	1	0	42.04	20.34	34.1818181818	42.04	20.34	34.18181818181818	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0005/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/PySnooper_2f/run_0005/0001-1
account1	6	ansible_17f	ansible.utils.unicode	ok	true	1	0	0	0	1	0	63.46	37.5	0	63.46	37.5	0.0	True	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0006/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0006/0001-1
account1	7	ansible_17f	ansible.utils.unicode	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0007/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0007/0001-1
account1	8	ansible_17f	ansible.utils.unicode	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0008/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0008/0001-1
account1	9	ansible_17f	ansible.utils.unicode	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0009/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0009/0001-1
account1	10	ansible_17f	ansible.utils.unicode	pytest_raw_fail	true	1	0	1							0.0	0.0	0.0		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0010/0001-1/metrics/status.json	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_CONSOLIDATED_GPT55_BUGSINPY_80SLOTS_PREMUTATION_20260623_080030/account1/ansible_17f/run_0010/0001-1
