score	categories	size_bytes	path
28	secrets_file,accounts,empty,manifest,api	1867	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_finish_only_20260618_090049/run.sh
28	secrets_file,accounts,empty,manifest,api	1913	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_finalfill_20260619_075112/run_account1.sh
28	secrets_file,accounts,empty,manifest,api	1913	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_finalfill_20260619_075112/run_account2.sh
28	secrets_file,accounts,empty,manifest,api	1913	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_finalfill_20260619_075112/run_account3.sh
25	secrets_file,accounts,empty,manifest	1837	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_account1_fill_missing_20260618_082520/run.sh
25	secrets_file,accounts,empty,manifest	1259	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_wrapperfix_continuation_20260618_075859/run_gpt55_continuation.sh
15	accounts,empty,manifest	1318	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_account2_continuation_launch_20260617_125239/run_continuation.sh
15	secrets_file,empty,api	1509	/home/jpaiva/projetos/quixbugs_python_gpt55/scripts/generator_cmd_iaedu.sh
11	accounts,empty	498	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_probe_20260617_125033/accounts_summary.tsv
9	quota,empty	62063	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_generation_boundary_20260617_123242.txt
9	accounts	251	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_probe_20260617_125033/account_2.environment.txt
7	screen,empty	657	/home/jpaiva/projetos/quixbugs_python_gpt55/README_WORKFLOW.md
7	screen,empty	93853	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/postrun_gpt55_quixbugs_python_20260617_123017.txt
3	tokens,api	1924	/home/jpaiva/projetos/quixbugs_python_gpt55/common/iaedu_from_prompt.py
2	empty	4991	/home/jpaiva/projetos/llm_test_generation_gpt4o/_audit_quixbugs_python_gpt4o_bootstrap_20260504_075940/audit_overview.txt
2	empty	2329	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_account1_fill_missing_20260618_082520/plan.tsv
2	empty	2129	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_finish_only_20260618_090049/missing_plan/plan.tsv
2	empty	413	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_global_closure_20260619_075629/summary.json
2	empty	327	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_global_closure_20260619_075629/summary.txt
2	empty	2597	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_three_accounts_finalfill_20260619_075112/plan/plan.tsv
2	empty	207	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_token_check_20260618_165803/token_check_summary.tsv
2	empty	159	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/gpt55_token_check_20260619_074832/token_check_summary.tsv
2	empty	201	/home/jpaiva/projetos/quixbugs_python_gpt55/_audit/stop_gpt55_account2_empty_20260618_092407/snapshot_before_stop.json
2	empty	976	/home/jpaiva/projetos/quixbugs_python_gpt55/_smoke/launch_final_gpt55_quixbugs_python_40x5.sh
2	empty	909	/home/jpaiva/projetos/quixbugs_python_gpt55/_smoke/launch_gpt55_bitcount_x1_mutation_envfix.sh
2	empty	753	/home/jpaiva/projetos/quixbugs_python_gpt55/_smoke/run_smoke_gpt55_bitcount_x1_mutation.sh
2	empty	3329	/home/jpaiva/projetos/quixbugs_python_gpt55/scripts/run_quixbugs_gpt55_dataset.sh
2	empty	24213	/home/jpaiva/projetos/quixbugs_python_gpt55/scripts/run_quixbugs_gpt55_one_sut.sh
2	empty	9623	/home/jpaiva/projetos/quixbugs_python_gpt55/tools/aggregate_quixbugs_gpt55_results.py
