rank	sut_id	target_module	historical_complete_runs	latest_complete_at	latest_status	latest_line_pct	latest_branch_pct	latest_mutation_pct	latest_status_json
1	tornado_4f	tornado.escape	27	2026-06-06T15:33:03	ok	49.37	16.07	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_run3_v4_compact_strict/cluster-safe-qwen3.5-9b-ctx32k/tornado_4f/run_0001/0015-3/metrics/status.json
2	cookiecutter_1f	cookiecutter.log	22	2026-06-02T09:15:00	ok	100.0	100.0	74.07407407407408	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/cookiecutter_1f/run_0001/0007-5/metrics/status.json
3	httpie_1f	httpie.sessions	22	2026-06-02T09:24:02	ok	66.67	53.57	36.03603603603604	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/httpie_1f/run_0001/0009-5/metrics/status.json
4	tornado_14f	tornado.escape	21	2026-06-06T15:32:52	ok	55.41	32.26	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_run3_v4_compact_strict/cluster-safe-qwen3.5-9b-ctx32k/tornado_14f/run_0001/0014-4/metrics/status.json
5	black_2f	blib2to3.pgen2.token	20	2026-06-02T09:00:36	ok	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/black_2f/run_0001/0005-5/metrics/status.json
6	black_5f	blib2to3.pgen2.driver	20	2026-06-02T09:13:48	ok	38.93	32.81	14.85148514851485	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/black_5f/run_0001/0006-5/metrics/status.json
7	httpie_2f	httpie.sessions	20	2026-06-02T09:30:31	ok	66.67	53.57	35.13513513513514	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/httpie_2f/run_0001/0010-5/metrics/status.json
8	matplotlib_16f	matplotlib.cbook	20	2026-06-02T11:15:22	ok	43.4	24.3	68.37098692033294	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/matplotlib_16f/run_0001/0011-5/metrics/status.json
9	cookiecutter_3f	cookiecutter.log	19	2026-06-02T09:15:57	ok	100.0	100.0	74.07407407407408	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_claude47_bugsinpy_python_v1/cookiecutter_3f/run_0001/0008-5/metrics/status.json
10	ansible_17f	ansible.utils.unicode	16	2026-06-06T15:11:22	ok	40.38	0.0	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_run3_v4_compact_strict/cluster-safe-deepseek-coder-v2-16b-ctx16k/ansible_17f/run_0001/0004-4/metrics/status.json
11	ansible_14f	ansible.utils.unicode	15	2026-06-06T15:09:26	ok	40.38	0.0	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_run3_v4_compact_strict/cluster-safe-deepseek-coder-v2-16b-ctx16k/ansible_14f/run_0001/0003-3/metrics/status.json
12	matplotlib_9f	matplotlib.cbook	15	2026-05-22T16:59:16	ok	61.9	45.94	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_gpt55_bugsinpy_python_v1/matplotlib_9f/run_0001/0012-5/metrics/status.json
13	thefuck_25f	thefuck.types	15	2026-05-22T16:59:31	ok	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_gpt55_bugsinpy_python_v1/thefuck_25f/run_0001/0013-5/metrics/status.json
14	youtube-dl_35f	youtube_dl.utils	13	2026-05-22T17:35:23	ok	40.56	25.0	0.0	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_final_gpt55_bugsinpy_python_v1/youtube-dl_35f/run_0001/0016-4/metrics/status.json
