mutant	rc	verdict	duration_s
cookiecutter.log.x_configure_logger__mutmut_1	0	survived	0.391
cookiecutter.log.x_configure_logger__mutmut_2	0	survived	0.338
cookiecutter.log.x_configure_logger__mutmut_3	1	killed	0.489
cookiecutter.log.x_configure_logger__mutmut_4	1	killed	0.300
cookiecutter.log.x_configure_logger__mutmut_5	1	killed	0.310
cookiecutter.log.x_configure_logger__mutmut_6	1	killed	0.309
cookiecutter.log.x_configure_logger__mutmut_7	1	killed	0.642
cookiecutter.log.x_configure_logger__mutmut_8	1	killed	0.834
cookiecutter.log.x_configure_logger__mutmut_9	1	killed	0.262
cookiecutter.log.x_configure_logger__mutmut_10	1	killed	0.257
cookiecutter.log.x_configure_logger__mutmut_11	1	killed	0.312
cookiecutter.log.x_configure_logger__mutmut_12	1	killed	0.340
cookiecutter.log.x_configure_logger__mutmut_13	1	killed	0.316
cookiecutter.log.x_configure_logger__mutmut_14	1	killed	0.353
cookiecutter.log.x_configure_logger__mutmut_15	1	killed	0.374
cookiecutter.log.x_configure_logger__mutmut_16	1	killed	0.343
cookiecutter.log.x_configure_logger__mutmut_17	1	killed	0.310
cookiecutter.log.x_configure_logger__mutmut_18	1	killed	0.261
cookiecutter.log.x_configure_logger__mutmut_19	1	killed	0.326
cookiecutter.log.x_configure_logger__mutmut_20	1	killed	0.306
cookiecutter.log.x_configure_logger__mutmut_21	1	killed	0.272
cookiecutter.log.x_configure_logger__mutmut_22	1	killed	0.585
cookiecutter.log.x_configure_logger__mutmut_23	1	killed	0.602
cookiecutter.log.x_configure_logger__mutmut_24	1	killed	0.387
cookiecutter.log.x_configure_logger__mutmut_25	1	killed	0.972
cookiecutter.log.x_configure_logger__mutmut_26	1	killed	0.382
cookiecutter.log.x_configure_logger__mutmut_27	1	killed	0.534
