account	slot	sut_id	target_module	run_id	rep	status	generation_output_nonempty	line_pct	branch_pct	mutation_score_pct	status_json
account3	1	ansible_14f	ansible.utils.unicode	1	1	ok	true	63.46	37.5	0.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/ansible_14f/run_0001/0001-1/metrics/status.json
account3	2	ansible_14f	ansible.utils.unicode	2	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/ansible_14f/run_0002/0001-1/metrics/status.json
account3	3	ansible_14f	ansible.utils.unicode	3	3	ok	true	63.46	37.5	0.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/ansible_14f/run_0003/0001-1/metrics/status.json
account3	4	ansible_14f	ansible.utils.unicode	4	4	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/ansible_14f/run_0004/0001-1/metrics/status.json
account3	5	ansible_14f	ansible.utils.unicode	5	5	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/ansible_14f/run_0005/0001-1/metrics/status.json
account3	6	black_5f	blib2to3.pgen2.driver	6	1	ok	true	76.51	68.75	44.554455445544555	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/black_5f/run_0006/0001-1/metrics/status.json
account3	7	black_5f	blib2to3.pgen2.driver	7	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/black_5f/run_0007/0001-1/metrics/status.json
account3	8	black_5f	blib2to3.pgen2.driver	8	3	ok	true	55.03	42.19	31.02310231023102	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/black_5f/run_0008/0001-1/metrics/status.json
account3	9	black_5f	blib2to3.pgen2.driver	9	4	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/black_5f/run_0009/0001-1/metrics/status.json
account3	10	black_5f	blib2to3.pgen2.driver	10	5	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/black_5f/run_0010/0001-1/metrics/status.json
account3	11	httpie_1f	httpie.sessions	11	1	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/httpie_1f/run_0011/0001-1/metrics/status.json
account3	12	httpie_1f	httpie.sessions	12	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/httpie_1f/run_0012/0001-1/metrics/status.json
account3	13	httpie_1f	httpie.sessions	13	3	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account3/httpie_1f/run_0013/0001-1/metrics/status.json
