account	sut_index	sut_id	target_module	slots
account1	1	PySnooper_2f	pysnooper	5
account1	4	ansible_17f	ansible.utils.unicode	5
account1	7	cookiecutter_1f	cookiecutter.log	5
account1	10	httpie_2f	httpie.sessions	5
account1	13	thefuck_25f	thefuck.types	5
account1	16	youtube-dl_35f	youtube_dl.utils	5
account2	2	PySnooper_3f	pysnooper	5
account2	5	black_2f	blib2to3.pgen2.token	5
account2	8	cookiecutter_3f	cookiecutter.log	5
account2	11	matplotlib_16f	matplotlib.cbook	5
account2	14	tornado_14f	tornado.escape	5
account3	3	ansible_14f	ansible.utils.unicode	5
account3	6	black_5f	blib2to3.pgen2.driver	5
account3	9	httpie_1f	httpie.sessions	5
account3	12	matplotlib_9f	matplotlib.cbook	5
account3	15	tornado_4f	tornado.escape	5
