metric	value
expected_slots	80
status_files_now	71
resume_generation_slots	12
do_not_rerun_slots	68
mutation_reprocess_no_tokens_slots	5
status_count_generated_test_compile_fail	1
status_count_generation_no_output	3
status_count_mutation_no_checked_mutants	5
status_count_ok	21
status_count_pytest_raw_fail	41
account1_status_files	29
account1_resume_generation_slots	2
account1_mutation_reprocess_no_tokens_slots	5
account2_status_files	21
account2_resume_generation_slots	5
account2_mutation_reprocess_no_tokens_slots	0
account3_status_files	21
account3_resume_generation_slots	5
account3_mutation_reprocess_no_tokens_slots	0
