account	slot	sut_id	target_module	run_id	rep	status	generation_output_nonempty	line_pct	branch_pct	mutation_score_pct	status_json
account1	1	PySnooper_2f	pysnooper	1	1	mutation_no_checked_mutants	true	42.28	20.34		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0001/0001-1/metrics/status.json
account1	2	PySnooper_2f	pysnooper	2	2	mutation_no_checked_mutants	true	39.19	17.8		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0002/0001-1/metrics/status.json
account1	3	PySnooper_2f	pysnooper	3	3	mutation_no_checked_mutants	true	41.81	20.34		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0003/0001-1/metrics/status.json
account1	4	PySnooper_2f	pysnooper	4	4	mutation_no_checked_mutants	true	39.19	17.8		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0004/0001-1/metrics/status.json
account1	5	PySnooper_2f	pysnooper	5	5	mutation_no_checked_mutants	true	42.04	20.34		/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/PySnooper_2f/run_0005/0001-1/metrics/status.json
account1	6	ansible_17f	ansible.utils.unicode	6	1	ok	true	63.46	37.5	0.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0006/0001-1/metrics/status.json
account1	7	ansible_17f	ansible.utils.unicode	7	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0007/0001-1/metrics/status.json
account1	8	ansible_17f	ansible.utils.unicode	8	3	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0008/0001-1/metrics/status.json
account1	9	ansible_17f	ansible.utils.unicode	9	4	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0009/0001-1/metrics/status.json
account1	10	ansible_17f	ansible.utils.unicode	10	5	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/ansible_17f/run_0010/0001-1/metrics/status.json
account1	11	cookiecutter_1f	cookiecutter.log	11	1	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/cookiecutter_1f/run_0011/0001-1/metrics/status.json
account1	12	cookiecutter_1f	cookiecutter.log	12	2	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/cookiecutter_1f/run_0012/0001-1/metrics/status.json
account1	13	cookiecutter_1f	cookiecutter.log	13	3	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/cookiecutter_1f/run_0013/0001-1/metrics/status.json
account1	14	cookiecutter_1f	cookiecutter.log	14	4	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/cookiecutter_1f/run_0014/0001-1/metrics/status.json
account1	15	cookiecutter_1f	cookiecutter.log	15	5	ok	true	100.0	100.0	92.5925925925926	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/cookiecutter_1f/run_0015/0001-1/metrics/status.json
account1	16	httpie_2f	httpie.sessions	16	1	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/httpie_2f/run_0016/0001-1/metrics/status.json
account1	17	httpie_2f	httpie.sessions	17	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/httpie_2f/run_0017/0001-1/metrics/status.json
account1	18	httpie_2f	httpie.sessions	18	3	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/httpie_2f/run_0018/0001-1/metrics/status.json
account1	19	httpie_2f	httpie.sessions	19	4	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/httpie_2f/run_0019/0001-1/metrics/status.json
account1	20	httpie_2f	httpie.sessions	20	5	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/httpie_2f/run_0020/0001-1/metrics/status.json
account1	21	thefuck_25f	thefuck.types	21	1	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/thefuck_25f/run_0021/0001-1/metrics/status.json
account1	22	thefuck_25f	thefuck.types	22	2	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/thefuck_25f/run_0022/0001-1/metrics/status.json
account1	23	thefuck_25f	thefuck.types	23	3	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/thefuck_25f/run_0023/0001-1/metrics/status.json
account1	24	thefuck_25f	thefuck.types	24	4	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/thefuck_25f/run_0024/0001-1/metrics/status.json
account1	25	thefuck_25f	thefuck.types	25	5	ok	true	100.0	100.0	100.0	/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/thefuck_25f/run_0025/0001-1/metrics/status.json
account1	26	youtube-dl_35f	youtube_dl.utils	26	1	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/youtube-dl_35f/run_0026/0001-1/metrics/status.json
account1	27	youtube-dl_35f	youtube_dl.utils	27	2	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/youtube-dl_35f/run_0027/0001-1/metrics/status.json
account1	28	youtube-dl_35f	youtube_dl.utils	28	3	pytest_raw_fail	true				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/youtube-dl_35f/run_0028/0001-1/metrics/status.json
account1	29	youtube-dl_35f	youtube_dl.utils	29	4	generation_no_output	false				/home/jpaiva/projetos/bugsinpy_gpt55/out/_FINAL_GPT55_BUGSINPY_16SUTS_5REPS_3ACCOUNTS_20260622_142827/account1/youtube-dl_35f/run_0029/0001-1/metrics/status.json
