sut_index	sut_id	target_module	sut_dir
1	PySnooper_2f	pysnooper	/home/jpaiva/projetos/SUTs/BugsInPy/PySnooper_2f
2	PySnooper_3f	pysnooper	/home/jpaiva/projetos/SUTs/BugsInPy/PySnooper_3f
3	ansible_14f	ansible.utils.unicode	/home/jpaiva/projetos/SUTs/BugsInPy/ansible_14f
4	ansible_17f	ansible.utils.unicode	/home/jpaiva/projetos/SUTs/BugsInPy/ansible_17f
5	black_2f	blib2to3.pgen2.token	/home/jpaiva/projetos/SUTs/BugsInPy/black_2f
6	black_5f	blib2to3.pgen2.driver	/home/jpaiva/projetos/SUTs/BugsInPy/black_5f
7	cookiecutter_1f	cookiecutter.log	/home/jpaiva/projetos/SUTs/BugsInPy/cookiecutter_1f
8	cookiecutter_3f	cookiecutter.log	/home/jpaiva/projetos/SUTs/BugsInPy/cookiecutter_3f
9	httpie_1f	httpie.sessions	/home/jpaiva/projetos/SUTs/BugsInPy/httpie_1f
10	httpie_2f	httpie.sessions	/home/jpaiva/projetos/SUTs/BugsInPy/httpie_2f
11	matplotlib_16f	matplotlib.cbook	/home/jpaiva/projetos/SUTs/BugsInPy/matplotlib_16f
12	matplotlib_9f	matplotlib.cbook	/home/jpaiva/projetos/SUTs/BugsInPy/matplotlib_9f
13	thefuck_25f	thefuck.types	/home/jpaiva/projetos/SUTs/BugsInPy/thefuck_25f
14	tornado_14f	tornado.escape	/home/jpaiva/projetos/SUTs/BugsInPy/tornado_14f
15	tornado_4f	tornado.escape	/home/jpaiva/projetos/SUTs/BugsInPy/tornado_4f
16	youtube-dl_35f	youtube_dl.utils	/home/jpaiva/projetos/SUTs/BugsInPy/youtube-dl_35f
