label,expected_total,observed_total,executable_suites_pct,line_coverage_pct,branch_coverage_pct,mutation_score_pct,line_coverage_penalised_mean,line_coverage_non_penalised_mean,branch_coverage_penalised_mean,branch_coverage_non_penalised_mean,mutation_score_penalised_mean,mutation_score_non_penalised_mean,status_counts
Dataset tests,164,164,100.0,98.80379024390244,97.25382012195124,93.37919024390243,98.80379024390244,98.80379024390244,97.25382012195124,97.25382012195124,93.37919024390243,93.37919024390243,"{""ok"": 164}"
EvoSuite,820,820,100.0,98.48,86.74,54.57,98.48,98.48,86.74,86.74,54.57,54.57,"{""ok"": 820}"
Randoop,164,164,100.0,92.33366776315785,76.61800986842105,49.804224999999995,92.33366776315785,92.33366776315785,76.61800986842105,76.61800986842105,49.804224999999995,49.804224999999995,"{""missing"": 0, ""summary_ok_suts"": 164}"
GPT-4o,820,820,99.8780487804878,97.05557719512207,83.88976841463413,87.78171292682926,97.05557719512207,97.17408217338217,83.88976841463413,93.08472273342355,87.78171292682926,87.8888945054945,"{""generation_failed"": 1, ""ok"": 819}"
GPT-5.5,820,820,99.7560975609756,98.44933792682934,87.15415292682933,91.72163207317075,98.44933792682934,98.69004535452322,87.15415292682933,96.83794769647696,91.72163207317075,91.94589034229828,"{""generation_failed"": 2, ""ok"": 818}"
Claude 4.7,820,820,95.0,93.49970560975618,82.49713804878049,86.28107926829261,93.49970560975618,98.42074274711167,82.49713804878049,95.54753276836158,86.28107926829261,90.82218870346598,"{""generation_failed"": 38, ""generation_no_output"": 1, ""ok"": 779, ""test_compile_fail"": 2}"
CodeLlama,820,820,81.58536585365853,65.88051121951219,55.75099207317074,59.69451402439025,65.88051121951219,80.7504023916293,55.75099207317074,76.32022287145242,59.69451402439025,73.16816367713004,"{""final_test_fail_after_sanitization"": 1, ""generated_test_compile_fail"": 137, ""ok"": 669, ""raw_test_fail_unsanitized"": 11, ""source_non_ok"": 2}"
Codestral,820,820,99.51219512195122,86.62193500000005,76.0321242682927,78.31388012195116,86.62193500000005,87.04655232843137,76.0321242682927,84.70970366847826,78.31388012195116,78.69777169117647,"{""generated_test_compile_fail"": 3, ""ok"": 816, ""raw_test_fail_unsanitized"": 1}"
DeepSeek-Coder-V2,820,820,95.48780487804878,70.49023731707314,61.09010853658539,63.48575365853659,70.49023731707314,73.82119361430397,61.09010853658539,71.05516170212766,63.48575365853659,66.4857190293742,"{""generated_test_compile_fail"": 35, ""ok"": 783, ""raw_test_fail_unsanitized"": 1, ""source_non_ok"": 1}"
DeepSeek-V2-Lite,820,820,95.85365853658537,71.21107475609756,61.197178902439035,64.96520280487809,71.21107475609756,74.29145203562341,61.197178902439035,71.07887634560906,64.96520280487809,67.7754024173028,"{""generated_test_compile_fail"": 29, ""ok"": 786, ""raw_test_fail_unsanitized"": 4, ""source_non_ok"": 1}"
Qwen2.5-Coder,820,820,61.09756097560975,57.8540231707317,50.23038890243901,54.433124756097556,57.8540231707317,94.69121556886228,50.23038890243901,92.14523243847874,54.433124756097556,89.09214031936128,"{""generated_test_compile_fail"": 316, ""ok"": 501, ""raw_test_fail_unsanitized"": 1, ""source_non_ok"": 2}"
Qwen3-Coder,820,820,98.04878048780488,73.93040256097561,65.42563036585366,69.92961170731704,73.93040256097561,75.40165435323384,65.42563036585366,74.1008520718232,69.92961170731704,71.32124577114428,"{""generated_test_compile_fail"": 2, ""ok"": 804, ""raw_test_fail_unsanitized"": 3, ""source_non_ok"": 11}"
Qwen3.5,820,820,90.2439024390244,89.37923329268297,79.45014402439024,84.91383048780477,89.37923329268297,99.04185310810811,79.45014402439024,98.11614171686747,84.91383048780477,94.09370405405406,"{""generated_test_compile_fail"": 49, ""ok"": 740, ""raw_test_fail_unsanitized"": 1, ""source_non_ok"": 30}"
