approach,executable_pct,line_penalized,branch_penalized,mutation_penalized
Dataset tests,100.0,98.80379024390244,97.25382012195124,93.37919024390243
EvoSuite,100.0,98.48,86.74,54.57
Randoop,100.0,92.33366776315785,76.61800986842105,49.804224999999995
GPT-4o,99.8780487804878,97.05557719512207,83.88976841463413,87.78171292682926
GPT-5.5,99.7560975609756,98.44933792682934,87.15415292682933,91.72163207317075
Claude 4.7,95.0,93.49970560975618,82.49713804878049,86.28107926829261
CodeLlama,81.58536585365853,65.88051121951219,55.75099207317074,59.69451402439025
Codestral,99.51219512195122,86.62193500000005,76.0321242682927,78.31388012195116
DeepSeek-Coder-V2,95.48780487804878,70.49023731707314,61.09010853658539,63.48575365853659
Qwen2.5-Coder,61.09756097560975,57.8540231707317,50.23038890243901,54.433124756097556
Qwen3-Coder,98.04878048780488,73.93040256097561,65.42563036585366,69.92961170731704
Qwen3.5,90.2439024390244,89.37923329268297,79.45014402439024,84.91383048780477
