approach,line_penalized,line_nonpenalized,branch_penalized,branch_nonpenalized,mutation_penalized,mutation_nonpenalized
Dataset tests,98.80379024390244,98.80379024390244,97.25382012195124,97.25382012195124,93.37919024390243,93.37919024390243
EvoSuite,98.48,98.48,86.74,86.74,54.57,54.57
Randoop,92.33366776315785,92.33366776315785,76.61800986842105,76.61800986842105,49.804224999999995,49.804224999999995
GPT-4o,97.05557719512207,97.17408217338217,83.88976841463413,93.08472273342355,87.78171292682926,87.8888945054945
GPT-5.5,98.44933792682934,98.69004535452322,87.15415292682933,96.83794769647696,91.72163207317075,91.94589034229828
Claude 4.7,93.49970560975618,98.42074274711167,82.49713804878049,95.54753276836158,86.28107926829261,90.82218870346598
CodeLlama,65.88051121951219,80.7504023916293,55.75099207317074,76.32022287145242,59.69451402439025,73.16816367713004
Codestral,86.62193500000005,87.04655232843137,76.0321242682927,84.70970366847826,78.31388012195116,78.69777169117647
DeepSeek-Coder-V2,70.49023731707314,73.82119361430397,61.09010853658539,71.05516170212766,63.48575365853659,66.4857190293742
Qwen2.5-Coder,57.8540231707317,94.69121556886228,50.23038890243901,92.14523243847874,54.433124756097556,89.09214031936128
Qwen3-Coder,73.93040256097561,75.40165435323384,65.42563036585366,74.1008520718232,69.92961170731704,71.32124577114428
Qwen3.5,89.37923329268297,99.04185310810811,79.45014402439024,98.11614171686747,84.91383048780477,94.09370405405406
