approach,category,expected,found,executable_count,executable_pct,line_penalized,branch_penalized,mutation_penalized,line_nonpenalized,branch_nonpenalized,mutation_nonpenalized
Dataset tests,official,40,40,40,100.0,89.851796,96.529762,93.198931,89.851796,96.529762,93.198931
EvoSuite,non_ai,200,200,102,51.0,50.81360000000001,49.9525,36.53080000000002,99.63450980392157,97.94607843137256,75.32123711340209
Randoop,non_ai,200,200,175,87.5,65.83180000000002,57.22950000000001,49.303300000000014,75.23634285714289,80.6049295774648,68.00455172413795
GPT-4o,iaedu,200,200,200,100.0,89.12708200000003,93.62559300000002,91.03591999999995,89.12708200000003,96.02624923076925,91.03591999999995
GPT-5.5,iaedu,200,200,200,100.0,90.42878428571429,97.6315475,92.792223,90.42878428571434,97.63154750000001,92.79222299999992
CodeLlama,cluster,200,200,33,16.5,9.596782666666666,10.270833499999998,8.595238095238093,71.08727901234568,76.08024814814814,63.668430335096986
Codestral,cluster,200,200,82,41.0,31.796636020295836,34.36666616666667,27.485936285936294,77.55277078120936,83.82113699186992,67.03886899008853
DeepSeek-Coder-V2,cluster,200,200,103,51.5,38.86765344736838,42.2020835,34.719291819291826,76.2110851909184,82.74918333333333,68.75107290948877
DeepSeek-V2,cluster,200,200,21,10.5,5.2308368684210516,5.9270835,4.976984126984127,65.38546085526315,74.08854375,62.21230158730159
Qwen2.5-Coder,cluster,200,200,121,60.5,47.96124647621724,51.70625033333333,44.26563714063715,79.9354107936954,86.17708388888887,74.39602880779354
Qwen3-Coder,cluster,200,200,150,75.0,63.48869408192529,69.6059522142857,61.296320346320414,84.65159210923372,92.80793628571426,81.72842712842723
Qwen3.5,cluster,200,200,17,8.5,7.680785790309105,8.025,7.325412087912087,90.3621857683424,94.41176470588235,86.18131868131867
