approach,executable_pct,line_penalized,branch_penalized,mutation_penalized
Dataset tests,100.0,89.851796,96.529762,93.198931
EvoSuite,51.0,50.81360000000001,49.9525,36.53080000000002
Randoop,87.5,65.83180000000002,57.22950000000001,49.303300000000014
GPT-4o,100.0,89.12708200000003,93.62559300000002,91.03591999999995
GPT-5.5,100.0,90.42878428571429,97.6315475,92.792223
CodeLlama,16.5,9.596782666666666,10.270833499999998,8.595238095238093
Codestral,41.0,31.796636020295836,34.36666616666667,27.485936285936294
DeepSeek-Coder-V2,51.5,38.86765344736838,42.2020835,34.719291819291826
DeepSeek-V2,10.5,5.2308368684210516,5.9270835,4.976984126984127
Qwen2.5-Coder,60.5,47.96124647621724,51.70625033333333,44.26563714063715
Qwen3-Coder,75.0,63.48869408192529,69.6059522142857,61.296320346320414
Qwen3.5,8.5,7.680785790309105,8.025,7.325412087912087
