approach,line_penalized,line_nonpenalized,branch_penalized,branch_nonpenalized,mutation_penalized,mutation_nonpenalized
Dataset tests,89.851796,89.851796,96.529762,96.529762,93.198931,93.198931
EvoSuite,50.81360000000001,99.63450980392157,49.9525,97.94607843137256,36.53080000000002,75.32123711340209
Randoop,65.83180000000002,75.23634285714289,57.22950000000001,80.6049295774648,49.303300000000014,68.00455172413795
GPT-4o,89.12708200000003,89.12708200000003,93.62559300000002,96.02624923076925,91.03591999999995,91.03591999999995
GPT-5.5,90.42878428571429,90.42878428571434,97.6315475,97.63154750000001,92.792223,92.79222299999992
CodeLlama,9.596782666666666,71.08727901234568,10.270833499999998,76.08024814814814,8.595238095238093,63.668430335096986
Codestral,31.796636020295836,77.55277078120936,34.36666616666667,83.82113699186992,27.485936285936294,67.03886899008853
DeepSeek-Coder-V2,38.86765344736838,76.2110851909184,42.2020835,82.74918333333333,34.719291819291826,68.75107290948877
DeepSeek-V2,5.2308368684210516,65.38546085526315,5.9270835,74.08854375,4.976984126984127,62.21230158730159
Qwen2.5-Coder,47.96124647621724,79.9354107936954,51.70625033333333,86.17708388888887,44.26563714063715,74.39602880779354
Qwen3-Coder,63.48869408192529,84.65159210923372,69.6059522142857,92.80793628571426,61.296320346320414,81.72842712842723
Qwen3.5,7.680785790309105,90.3621857683424,8.025,94.41176470588235,7.325412087912087,86.18131868131867
