origin	sut	rep	status_path	run_dir	jacoco_xml	target_classes	original_line	original_instruction	original_branch	repaired_line	repaired_instruction	repaired_branch	sourcefile_line	sourcefile_instruction	sourcefile_branch	scope_confirmed	error
gpt55	004_java_depth_first_search	1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		85.71428571428571	92.1875	87.5	85.71428571428571	92.1875	87.5	True	
gpt55	004_java_depth_first_search	1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
gpt55	004_java_depth_first_search	1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/runner/target/site/jacoco/jacoco.xml	mypkg/DEPTH_FIRST_SEARCH,mypkg/DEPTH_FIRST_SEARCH$1Search	75.0	82.3529		92.85714285714286	95.3125	100.0	92.85714285714286	95.3125	100.0	True	
