sut	rep	status	line	branch	instruction	mutation	mutation_strict	mvn_rc	pit_rc	base_valid	fully_valid	reasons	status_path	run_dir
001_java_bitcount	1-1	ok	83.3333	100.0	82.3529	100.0	60.0	0	0	1	1		/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-1
001_java_bitcount	1-2	ok	83.3333	100.0	82.3529	100.0	40.0	0	0	1	1		/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-2
001_java_bitcount	1-3	ok	83.3333	100.0	82.3529	100.0	60.0	0	0	1	1		/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-3
001_java_bitcount	1-4	ok	83.3333	100.0	82.3529	100.0	60.0	0	0	1	1		/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-4
001_java_bitcount	1-5	ok	83.3333	100.0	82.3529	100.0	60.0	0	0	1	1		/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/001_java_bitcount/run_0001/1-5
004_java_depth_first_search	1-1	ok	75.0		82.3529	100.0	100.0	0	0	1	0	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1
004_java_depth_first_search	1-2	ok	75.0		82.3529	100.0	100.0	0	0	1	0	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2
004_java_depth_first_search	1-3	ok	75.0		82.3529	100.0	100.0	0	0	1	0	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3
004_java_depth_first_search	1-4	ok	75.0		82.3529	100.0	100.0	0	0	1	0	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4
004_java_depth_first_search	1-5	ok	75.0		82.3529	100.0	100.0	0	0	1	0	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5
