sut	rep	status	reason	status_path
004_java_depth_first_search	1-1	ok	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/metrics/status.json
004_java_depth_first_search	1-2	ok	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/metrics/status.json
004_java_depth_first_search	1-3	ok	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/metrics/status.json
004_java_depth_first_search	1-4	ok	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/metrics/status.json
004_java_depth_first_search	1-5	ok	branch_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/metrics/status.json
022_java_minimum_spanning_tree	1-1	test_fail	status=test_fail;mvn_rc=1;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/022_java_minimum_spanning_tree/run_0001/1-1/metrics/status.json
022_java_minimum_spanning_tree	1-3	test_fail	status=test_fail;mvn_rc=1;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/022_java_minimum_spanning_tree/run_0001/1-3/metrics/status.json
022_java_minimum_spanning_tree	1-4	test_fail	status=test_fail;mvn_rc=1;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/022_java_minimum_spanning_tree/run_0001/1-4/metrics/status.json
028_java_quicksort	1-3	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/028_java_quicksort/run_0001/1-3/metrics/status.json
028_java_quicksort	1-4	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/028_java_quicksort/run_0001/1-4/metrics/status.json
028_java_quicksort	1-5	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/028_java_quicksort/run_0001/1-5/metrics/status.json
029_java_reverse_linked_list	1-4	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account2_20260619_084232/029_java_reverse_linked_list/run_0001/1-4/metrics/status.json
029_java_reverse_linked_list	1-5	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account2_20260619_084232/029_java_reverse_linked_list/run_0001/1-5/metrics/status.json
032_java_shortest_path_lengths	1-1	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account2_20260619_084232/032_java_shortest_path_lengths/run_0001/1-1/metrics/status.json
032_java_shortest_path_lengths	1-2	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account2_20260619_084232/032_java_shortest_path_lengths/run_0001/1-2/metrics/status.json
030_java_rpn_eval	1-5	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account3_20260619_084232/030_java_rpn_eval/run_0001/1-5/metrics/status.json
033_java_shortest_paths	1-1	generation_failed	status=generation_failed;mvn_rc=None;pit_rc=None;line_missing;instruction_missing;mutation_missing;branch_missing;java_metrics_file_missing	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account3_20260619_084232/033_java_shortest_paths/run_0001/1-1/metrics/status.json
