sut	fully_valid_available	selected	missing
001_java_bitcount	5	5	0
002_java_breadth_first_search	5	5	0
003_java_bucketsort	5	5	0
004_java_depth_first_search	0	0	5
005_java_detect_cycle	5	5	0
006_java_find_first_in_sorted	5	5	0
007_java_find_in_sorted	5	5	0
008_java_flatten	5	5	0
009_java_gcd	5	5	0
010_java_get_factors	5	5	0
011_java_hanoi	5	5	0
012_java_is_valid_parenthesization	5	5	0
013_java_kheapsort	5	5	0
014_java_knapsack	5	5	0
015_java_kth	5	5	0
016_java_lcs_length	5	5	0
017_java_levenshtein	5	5	0
018_java_lis	5	5	0
019_java_longest_common_subsequence	5	5	0
020_java_max_sublist_sum	5	5	0
021_java_mergesort	5	5	0
022_java_minimum_spanning_tree	3	3	2
023_java_next_palindrome	5	5	0
024_java_next_permutation	5	5	0
025_java_pascal	5	5	0
026_java_possible_change	5	5	0
027_java_powerset	5	5	0
028_java_quicksort	5	5	0
029_java_reverse_linked_list	5	5	0
030_java_rpn_eval	5	5	0
031_java_shortest_path_length	5	5	0
032_java_shortest_path_lengths	5	5	0
033_java_shortest_paths	5	5	0
034_java_shunting_yard	5	5	0
035_java_sieve	5	5	0
036_java_sqrt	5	5	0
037_java_subsequences	5	5	0
038_java_to_base	5	5	0
039_java_topological_ordering	5	5	0
040_java_wrap	5	5	0
