origin	sut	rep	status_path	run_dir	jacoco_xml	status_line	sourcefile_line	status_instruction	sourcefile_instruction	branch_missed	branch_covered	branch_total	branch_pct	scope_matches_existing_metrics	error
gpt55	004_java_depth_first_search	1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-3/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-1/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-2/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-4/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_continuation_gpt55_quixbugs_java_account1_missing5_20260620_091649/004_java_depth_first_search/run_0001/1-5/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-3/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-1/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-2/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-4/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
gpt55	004_java_depth_first_search	1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/metrics/status.json	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5	/home/jpaiva/projetos/quixbugs_java_gpt55/out/_final_gpt55_quixbugs_java_account1_20260619_084232/004_java_depth_first_search/run_0001/1-5/runner/target/site/jacoco/jacoco.xml	75.0		82.3529							sourcefile_count=2
