approach,category,sut,run,status,executable,line,branch,mutation,source_file
EvoSuite,non_ai,Chart_5f,run_0001,ok,True,100.0000,75.0000,100.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Chart_5f/run_0001/1-1/metrics/status.json
EvoSuite,non_ai,Chart_5f,run_0001,ok,True,100.0000,75.0000,100.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Chart_5f/run_0001/1-2/metrics/status.json
EvoSuite,non_ai,Chart_5f,run_0001,ok,True,100.0000,50.0000,100.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Chart_5f/run_0001/1-3/metrics/status.json
EvoSuite,non_ai,Chart_5f,run_0001,ok,True,100.0000,75.0000,80.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Chart_5f/run_0001/1-4/metrics/status.json
EvoSuite,non_ai,Chart_5f,run_0001,ok,True,100.0000,75.0000,100.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Chart_5f/run_0001/1-5/metrics/status.json
EvoSuite,non_ai,Cli_23f,run_0001,ok,True,100.0000,100.0000,40.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Cli_23f/run_0001/2-1/metrics/status.json
EvoSuite,non_ai,Cli_23f,run_0001,ok,True,100.0000,100.0000,40.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Cli_23f/run_0001/2-2/metrics/status.json
EvoSuite,non_ai,Cli_23f,run_0001,ok,True,100.0000,100.0000,40.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Cli_23f/run_0001/2-3/metrics/status.json
EvoSuite,non_ai,Cli_23f,run_0001,ok,True,100.0000,100.0000,40.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Cli_23f/run_0001/2-4/metrics/status.json
EvoSuite,non_ai,Cli_23f,run_0001,ok,True,100.0000,100.0000,40.0000,/second_disk/nonAI/java_workflow/out/_final_defects4j_evosuite/Cli_23f/run_0001/2-5/metrics/status.json
