model	model_dir	sut_id	repeat	status	exit_code	timed_out	empty_output	attempts	duration_s	run_dir
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Chart_5f	1	ok	0	0	0	1	11	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Chart_5f/run_0001
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Chart_5f	2	ok	0	0	0	1	7	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Chart_5f/run_0002
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Chart_5f	3	ok	0	0	0	1	24	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Chart_5f/run_0003
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Chart_5f	4	ok	0	0	0	1	7	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Chart_5f/run_0004
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Chart_5f	5	ok	0	0	0	1	13	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Chart_5f/run_0005
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Cli_23f	1	ok	0	0	0	1	5	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Cli_23f/run_0001
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Cli_23f	2	ok	0	0	0	1	3	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Cli_23f/run_0002
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Cli_23f	3	ok	0	0	0	1	3	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Cli_23f/run_0003
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Cli_23f	4	timeout_with_output	124	1	0	1	200	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Cli_23f/run_0004
cluster-max-codellama-7b-instruct-ctx16k	cluster-max-codellama-7b-instruct-ctx16k	Cli_23f	5	ok	0	0	0	1	3	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/Cli_23f/run_0005
